23:48:09: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 45] Logger initialized
23:48:16: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [4.285714285714286, 2.857142857142857, 0.14285714285714285]
23:48:16: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 145] CHANGE YAW: 26.565051177077994
23:48:16: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [4.0, 1.3333333333333333, 0.13333333333333333]
23:48:16: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 145] CHANGE YAW: 45.0
23:48:17: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [3.75, 0.0, 0.125]
23:48:17: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 145] CHANGE YAW: 90.0
23:48:17: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [2.3529411764705883, 0.0, 0.11764705882352941]
23:48:17: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 145] CHANGE YAW: 45.0
23:48:18: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [1.1111111111111112, 0.0, 0.1111111111111111]
23:48:18: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 145] CHANGE YAW: 90.0
23:48:18: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [0.0, 0.0, 0.10526315789473684]
23:48:18: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 145] CHANGE YAW: 135.0
23:48:19: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [0.0, 1.0, 0.1]
23:48:19: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 145] CHANGE YAW: -26.565051177077994
23:48:19: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [0.0, 1.9047619047619047, 0.09523809523809523]
23:48:19: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 145] CHANGE YAW: -45.0
23:48:20: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [0.0, 2.727272727272727, 0.09090909090909091]
23:48:20: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 145] CHANGE YAW: -90.0
23:48:20: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [0.8695652173913043, 2.608695652173913, 0.08695652173913043]
23:48:20: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 145] CHANGE YAW: -45.0
23:48:21: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [1.6666666666666667, 2.5, 0.08333333333333333]
23:48:21: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 145] CHANGE YAW: -90.0
23:48:21: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [2.4, 2.4, 0.08]
23:48:21: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 145] CHANGE YAW: -135.0
23:48:22: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [2.3076923076923075, 1.5384615384615385, 0.07692307692307693]
23:48:22: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 145] CHANGE YAW: -63.43494882292201
23:48:22: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [2.2222222222222223, 0.7407407407407407, 0.07407407407407407]
23:48:22: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 145] CHANGE YAW: -90.0
23:48:23: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [2.142857142857143, 0.0, 0.07142857142857142]
23:48:23: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 145] CHANGE YAW: -116.56505117707799
23:48:23: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [1.3793103448275863, 0.0, 0.06896551724137931]
23:48:23: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 145] CHANGE YAW: -45.0
23:48:24: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [0.6666666666666666, 0.0, 0.06666666666666667]
23:48:24: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 145] CHANGE YAW: -63.43494882292201
23:48:24: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [0.0, 0.0, 0.06451612903225806]
23:48:24: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 145] CHANGE YAW: -90.0
23:48:25: [ERROR] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 65] Error in worker loop: 
