23:48:09: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 45] Logger initialized
23:48:09: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [0.0, 0.0, 4.0]
23:48:09: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 105] CHANGE ALTITUDE: 1
23:48:09: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 145] CHANGE YAW: 63.43494882292201
23:48:10: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [0.0, 0.0, 1.0]
23:48:10: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 105] CHANGE ALTITUDE: -1
23:48:10: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 145] CHANGE YAW: 63.43494882292201
23:48:10: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [0.0, 0.0, 0.6666666666666666]
23:48:11: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [0.0, 0.0, 0.5]
23:48:11: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [0.0, 0.0, 0.4]
23:48:12: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [0.0, 0.0, 0.3333333333333333]
23:48:12: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [0.0, 0.0, 0.2857142857142857]
23:48:13: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [0.0, 2.5, 0.25]
23:48:13: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 145] CHANGE YAW: 63.43494882292201
23:48:13: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [0.0, 4.444444444444445, 0.2222222222222222]
23:48:13: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 145] CHANGE YAW: 90.0
23:48:14: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [0.0, 6.0, 0.2]
23:48:14: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 145] CHANGE YAW: 116.56505117707799
23:48:14: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [1.8181818181818181, 5.454545454545454, 0.18181818181818182]
23:48:14: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 145] CHANGE YAW: 45.0
23:48:15: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [3.3333333333333335, 5.0, 0.16666666666666666]
23:48:15: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 145] CHANGE YAW: 63.43494882292201
23:48:15: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average velocity: [4.615384615384615, 4.615384615384615, 0.15384615384615385]
23:48:15: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 145] CHANGE YAW: 90.0
