13:57:09: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 71] Sleeping for 1 seconds
13:57:10: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 63] Attempting to receive heartbeat
13:57:10: [WARNING] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 67] No heartbeat received, consecutive failures: 6
13:57:10: [ERROR] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 74] Connection considered disconnected
13:57:10: [ERROR] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 67] Failed to receive heartbeat
13:57:10: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 71] Sleeping for 1 seconds
13:57:11: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 63] Attempting to receive heartbeat
13:57:11: [WARNING] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 67] No heartbeat received, consecutive failures: 7
13:57:11: [ERROR] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 74] Connection considered disconnected
13:57:11: [ERROR] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 67] Failed to receive heartbeat
13:57:11: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 71] Sleeping for 1 seconds
13:57:12: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 63] Attempting to receive heartbeat
13:57:12: [WARNING] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 67] No heartbeat received, consecutive failures: 8
13:57:12: [ERROR] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 74] Connection considered disconnected
13:57:12: [ERROR] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 67] Failed to receive heartbeat
13:57:12: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 71] Sleeping for 1 seconds
13:57:13: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 63] Attempting to receive heartbeat
13:57:13: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 64] Heartbeat received successfully
13:57:13: [INFO] [/Users/danielwliu/Dev/projects/2025/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 71] Sleeping for 1 seconds
